"day" "doy" "date" "year" "cpue" "ccpue" "p.ccpue"
83 234 "8/22" 1987 0 581.9824382 1
84 235 "8/23" 1987 0 581.9824382 1
85 236 "8/24" 1987 0 581.9824382 1
1 153 "6/1" 1988 0 0 0
2 154 "6/2" 1988 2.963414634 2.963414634 0.008209654
3 155 "6/3" 1988 0 2.963414634 0.008209654
4 156 "6/4" 1988 0 2.963414634 0.008209654
5 157 "6/5" 1988 1.875 4.838414634 0.013404033
6 158 "6/6" 1988 0 4.838414634 0.013404033
7 159 "6/7" 1988 2.790697674 7.629112308 0.021135203
8 160 "6/8" 1988 22.06108559 29.6901979 0.082251819
9 161 "6/9" 1988 14.40990991 44.10010781 0.122172109
10 162 "6/10" 1988 5.326829268 49.42693708 0.136929215
11 163 "6/11" 1988 21.3635255 70.79046258 0.196113355
12 164 "6/12" 1988 18.23276879 89.02323137 0.246624248
13 165 "6/13" 1988 11.00375235 100.0269837 0.277108337
14 166 "6/14" 1988 2.967032967 102.9940167 0.285328015
15 167 "6/15" 1988 8.018263252 111.0122799 0.307541297
16 168 "6/16" 1988 8.173469388 119.1857493 0.330184552
17 169 "6/17" 1988 20.67073171 139.856481 0.387449421
18 170 "6/18" 1988 7.197802198 147.0542832 0.40738975
19 171 "6/19" 1988 13.38158351 160.4358667 0.444461231
20 172 "6/20" 1988 24.80970823 185.245575 0.513192454
21 173 "6/21" 1988 15.91302655 201.1586015 0.557276882
22 174 "6/22" 1988 13.15 214.3086015 0.593706798
23 175 "6/23" 1988 16.28559274 230.5941943 0.638823359
24 176 "6/24" 1988 21.24947146 251.8436657 0.697691532
25 177 "6/25" 1988 7.78559274 259.6292585 0.719260238
26 178 "6/26" 1988 10.17384475 269.8031032 0.747445205
27 179 "6/27" 1988 14.13447131 283.9375745 0.786602437
28 180 "6/28" 1988 4.918181818 288.8557563 0.800227452
29 181 "6/29" 1988 3.318181818 292.1739382 0.80941993
30 182 "6/30" 1988 2.891986063 295.0659242 0.817431703
31 183 "7/1" 1988 11.8135776 306.8795018 0.85015928
32 184 "7/2" 1988 1.25 308.1295018 0.8536222
33 185 "7/3" 1988 4.766949153 312.896451 0.86682825
34 186 "7/4" 1988 5.317315453 318.2137664 0.881559
35 187 "7/5" 1988 7.593599383 325.8073658 0.90259582
36 188 "7/6" 1988 0 325.8073658 0.90259582
37 189 "7/7" 1988 0 325.8073658 0.90259582
38 190 "7/8" 1988 0 325.8073658 0.90259582
39 191 "7/9" 1988 0 325.8073658 0.90259582
40 192 "7/10" 1988 0 325.8073658 0.90259582
41 193 "7/11" 1988 0 325.8073658 0.90259582
42 194 "7/12" 1988 0 325.8073658 0.90259582
43 195 "7/13" 1988 0 325.8073658 0.90259582
44 196 "7/14" 1988 7.881899872 333.6892657 0.92443133
45 197 "7/15" 1988 0 333.6892657 0.92443133
46 198 "7/16" 1988 7.738927739 341.4281934 0.945870759
47 199 "7/17" 1988 5.597069597 347.025263 0.961376521
48 200 "7/18" 1988 1.777777778 348.8030408 0.966301563
49 201 "7/19" 1988 0 348.8030408 0.966301563
50 202 "7/20" 1988 0 348.8030408 0.966301563
51 203 "7/21" 1988 0 348.8030408 0.966301563
52 204 "7/22" 1988 0 348.8030408 0.966301563
53 205 "7/23" 1988 0 348.8030408 0.966301563
54 206 "7/24" 1988 1.081081081 349.8841219 0.96929652
55 207 "7/25" 1988 0 349.8841219 0.96929652
56 208 "7/26" 1988 2.162162162 352.046284 0.975286436
57 209 "7/27" 1988 2 354.046284 0.980827107
58 210 "7/28" 1988 0 354.046284 0.980827107
59 211 "7/29" 1988 0 354.046284 0.980827107
60 212 "7/30" 1988 4.162162162 358.2084462 0.992357694
61 213 "7/31" 1988 0 358.2084462 0.992357694
62 214 "8/1" 1988 0 358.2084462 0.992357694
63 215 "8/2" 1988 0 358.2084462 0.992357694
64 216 "8/3" 1988 0 358.2084462 0.992357694
65 217 "8/4" 1988 0 358.2084462 0.992357694
66 218 "8/5" 1988 0 358.2084462 0.992357694
67 219 "8/6" 1988 0 358.2084462 0.992357694
68 220 "8/7" 1988 0 358.2084462 0.992357694
69 221 "8/8" 1988 0 358.2084462 0.992357694
70 222 "8/9" 1988 0 358.2084462 0.992357694
71 223 "8/10" 1988 0 358.2084462 0.992357694
72 224 "8/11" 1988 2.75862069 360.9670669 1
73 225 "8/12" 1988 0 360.9670669 1
74 226 "8/13" 1988 0 360.9670669 1
75 227 "8/14" 1988 0 360.9670669 1
76 228 "8/15" 1988 0 360.9670669 1
77 229 "8/16" 1988 0 360.9670669 1
78 230 "8/17" 1988 0 360.9670669 1
79 231 "8/18" 1988 0 360.9670669 1
80 232 "8/19" 1988 0 360.9670669 1
81 233 "8/20" 1988 0 360.9670669 1
82 234 "8/21" 1988 0 360.9670669 1
83 235 "8/22" 1988 0 360.9670669 1
84 236 "8/23" 1988 0 360.9670669 1
85 237 "8/24" 1988 0 360.9670669 1
1 152 "6/1" 1989 0 0 0
2 153 "6/2" 1989 0 0 0
3 154 "6/3" 1989 0 0 0
4 155 "6/4" 1989 0 0 0
5 156 "6/5" 1989 0 0 0
6 157 "6/6" 1989 0 0 0
7 158 "6/7" 1989 1.67 1.67 0.003190311
8 159 "6/8" 1989 6.51 8.18 0.015626791
9 160 "6/9" 1989 8.58 16.76 0.032017728
10 161 "6/10" 1989 15.31 32.07 0.061265426
11 162 "6/11" 1989 4.29 36.36 0.069460895
12 163 "6/12" 1989 8.67 45.03 0.086023765
13 164 "6/13" 1989 11.41 56.44 0.107821037
14 165 "6/14" 1989 27.01 83.45 0.159420013
15 166 "6/15" 1989 18.78 102.23 0.19529668
16 167 "6/16" 1989 7.15 109.38 0.208955794
17 168 "6/17" 1989 20.89 130.27 0.248863332
18 169 "6/18" 1989 35.09 165.36 0.315898063
19 170 "6/19" 1989 19.16 184.52 0.352500669
20 171 "6/20" 1989 16.28 200.8 0.383601421
21 172 "6/21" 1989 13.81 214.61 0.409983571
22 173 "6/22" 1989 16.85 231.46 0.442173232
23 174 "6/23" 1989 23.45 254.91 0.486971306
24 175 "6/24" 1989 21.08 275.99 0.527241814
25 176 "6/25" 1989 26.31 302.3 0.577503534
26 177 "6/26" 1989 47.8 350.1 0.668819012
27 178 "6/27" 1989 50.42 400.52 0.765139648
28 179 "6/28" 1989 11.26 411.78 0.786650365
29 180 "6/29" 1989 2.79 414.57 0.791980285
30 181 "6/30" 1989 22.21 436.78 0.834409506
31 182 "7/1" 1989 11.27 448.05 0.855939327
32 183 "7/2" 1989 3.44 451.49 0.862510985
33 184 "7/3" 1989 9.46 460.95 0.880583044
34 185 "7/4" 1989 6.75 467.7 0.893478012
35 186 "7/5" 1989 9.77 477.47 0.912142284
36 187 "7/6" 1989 1.67 479.14 0.915332595
37 188 "7/7" 1989 8.72 487.86 0.931990983
38 189 "7/8" 1989 3.64 491.5 0.938944714
39 190 "7/9" 1989 4.59 496.09 0.947713292
40 191 "7/10" 1989 4.25 500.34 0.955832346
41 192 "7/11" 1989 0 500.34 0.955832346
42 193 "7/12" 1989 1.03 501.37 0.957800023
43 194 "7/13" 1989 0 501.37 0.957800023
44 195 "7/14" 1989 0 501.37 0.957800023
45 196 "7/15" 1989 0 501.37 0.957800023
46 197 "7/16" 1989 0 501.37 0.957800023
47 198 "7/17" 1989 1.14 502.51 0.95997784
48 199 "7/18" 1989 1.86 504.37 0.96353112
49 200 "7/19" 1989 0.88 505.25 0.965212242
50 201 "7/20" 1989 5.16 510.41 0.975069728
51 202 "7/21" 1989 0.93 511.34 0.976846368
52 203 "7/22" 1989 6.24 517.58 0.98876705
53 204 "7/23" 1989 0 517.58 0.98876705
54 205 "7/24" 1989 0 517.58 0.98876705
55 206 "7/25" 1989 0 517.58 0.98876705
56 207 "7/26" 1989 0 517.58 0.98876705
57 208 "7/27" 1989 0 517.58 0.98876705
58 209 "7/28" 1989 0 517.58 0.98876705
59 210 "7/29" 1989 0 517.58 0.98876705
60 211 "7/30" 1989 0 517.58 0.98876705
61 212 "7/31" 1989 0 517.58 0.98876705
62 213 "8/1" 1989 0 517.58 0.98876705
63 214 "8/2" 1989 1.11 518.69 0.990887556
64 215 "8/3" 1989 0 518.69 0.990887556
65 216 "8/4" 1989 0 518.69 0.990887556
66 217 "8/5" 1989 0 518.69 0.990887556
67 218 "8/6" 1989 0 518.69 0.990887556
68 219 "8/7" 1989 0 518.69 0.990887556
69 220 "8/8" 1989 0 518.69 0.990887556
70 221 "8/9" 1989 0.87 519.56 0.992549574
71 222 "8/10" 1989 0 519.56 0.992549574
72 223 "8/11" 1989 0 519.56 0.992549574
73 224 "8/12" 1989 0 519.56 0.992549574
74 225 "8/13" 1989 2.1 521.66 0.996561342
75 226 "8/14" 1989 0 521.66 0.996561342
76 227 "8/15" 1989 0 521.66 0.996561342
77 228 "8/16" 1989 0 521.66 0.996561342
78 229 "8/17" 1989 0 521.66 0.996561342
79 230 "8/18" 1989 0 521.66 0.996561342
80 231 "8/19" 1989 0 521.66 0.996561342
81 232 "8/20" 1989 1.8 523.46 1
82 233 "8/21" 1989 0 523.46 1
